everyday,quantity
2022-10-01,8760.0
2022-10-02,9720.0
2022-10-03,11820.0
2022-10-04,12720.0
2022-10-05,11880.0
2022-10-06,11520.0
2022-10-07,8460.0
2022-10-08,12120.0
2022-10-09,12000.0
2022-10-10,10800.0
2022-10-11,8820.0
2022-10-12,8700.0
2022-10-13,9600.0
2022-10-14,9180.0
2022-10-15,10260.0
2022-10-16,10560.0
2022-10-17,10200.0
2022-10-18,9480.0
2022-10-19,10140.0
2022-10-20,9480.0
2022-10-21,10200.0
2022-10-22,10620.0
2022-10-23,12180.0
2022-10-24,12480.0
2022-10-25,13920.0
2022-10-26,10320.0
2022-10-27,12300.0
2022-10-28,9900.0
2022-10-29,9600.0
2022-10-30,8760.0
2022-10-31,10560.0
2022-11-01,9420.0
2022-11-02,10680.0
2022-11-03,9060.0
2022-11-04,10320.0
2022-11-05,10140.0
2022-11-06,11640.0
2022-11-07,9540.0
2022-11-08,11340.0
2022-11-09,9240.0
2022-11-10,10860.0
2022-11-11,8400.0
2022-11-12,10740.0
2022-11-13,9540.0
2022-11-14,11400.0
2022-11-15,8880.0
2022-11-16,10920.0
2022-11-17,7920.0
2022-11-18,10980.0
2022-11-19,9840.0
2022-11-20,9660.0
2022-11-21,9840.0
2022-11-22,9720.0
2022-11-23,9480.0
2022-11-24,9120.0
2022-11-25,9120.0
2022-11-26,11400.0
2022-11-27,9360.0
2022-11-28,11580.0
2022-11-29,9960.0
2022-11-30,11040.0
2022-12-01,9660.0
2022-12-02,11340.0
2022-12-03,10620.0
2022-12-04,11820.0
2022-12-05,10800.0
2022-12-06,11700.0
2022-12-07,9420.0
2022-12-08,9960.0
2022-12-09,8220.0
2022-12-10,10080.0
2022-12-11,7860.0
2022-12-12,7020.0
2022-12-13,7320.0
2022-12-14,8220.0
2022-12-15,8220.0
2022-12-16,9480.0
2022-12-17,9960.0
2022-12-18,10980.0
2022-12-19,10140.0
2022-12-20,10860.0
2022-12-21,8760.0
2022-12-22,12000.0
2022-12-23,10320.0
2022-12-24,9900.0
2022-12-25,9720.0
2022-12-26,10620.0
2022-12-27,10140.0
2022-12-28,10560.0
2022-12-29,10140.0
2022-12-30,11940.0
2022-12-31,12420.0
2023-01-01,11580.0
2023-01-02,12420.0
2023-01-03,11700.0
2023-01-04,10560.0
2023-01-05,11280.0
2023-01-06,10560.0
2023-01-07,11820.0
2023-01-08,10200.0
2023-01-09,11100.0
2023-01-10,9300.0
2023-01-11,9120.0
2023-01-12,9180.0
2023-01-13,11820.0
2023-01-14,12060.0
2023-01-15,13140.0
2023-01-16,10560.0
2023-01-17,10680.0
2023-01-18,9240.0
2023-01-19,10200.0
2023-01-20,9600.0
2023-01-21,11160.0
2023-01-22,10380.0
2023-01-23,11400.0
2023-01-24,10080.0
2023-01-25,11580.0
2023-01-26,11040.0
2023-01-27,10680.0
2023-01-28,12060.0
2023-01-29,12180.0
2023-01-30,11880.0
2023-01-31,13140.0
2023-02-01,12240.0
2023-02-02,11280.0
2023-02-03,10740.0
2023-02-04,15720.0
2023-02-05,13500.0
2023-02-06,15120.0
2023-02-07,13680.0
2023-02-08,13140.0
2023-02-09,13380.0
2023-02-10,13680.0
2023-02-11,13560.0
2023-02-12,14700.0
2023-02-13,13920.0
2023-02-14,14760.0
2023-02-15,13020.0
2023-02-16,14280.0
2023-02-17,12720.0
2023-02-18,16560.0
2023-02-19,17400.0
2023-02-20,15300.0
2023-02-21,12720.0
2023-02-22,12780.0
2023-02-23,12240.0
2023-02-24,13560.0
2023-02-25,11940.0
2023-02-26,14400.0
2023-02-27,15660.0
2023-02-28,13860.0
2023-03-01,13980.0
2023-03-02,13860.0
2023-03-03,12960.0
2023-03-04,14400.0
2023-03-05,12900.0
2023-03-06,15180.0
2023-03-07,14400.0
2023-03-08,12840.0
2023-03-09,12360.0
2023-03-10,12480.0
2023-03-11,13260.0
2023-03-12,14220.0
2023-03-13,12540.0
2023-03-14,14520.0
2023-03-15,12780.0
2023-03-16,13440.0
2023-03-17,13140.0
2023-03-18,13980.0
2023-03-19,13920.0
2023-03-20,14280.0
2023-03-21,15540.0
2023-03-22,14940.0
2023-03-23,13200.0
2023-03-24,13620.0
2023-03-25,14340.0
2023-03-26,15000.0
2023-03-27,16440.0
2023-03-28,14640.0
2023-03-29,16260.0
2023-03-30,16140.0
2023-03-31,16980.0
2023-04-01,15240.0
2023-04-02,15420.0
2023-04-03,15360.0
2023-04-04,16020.0
2023-04-05,15900.0
2023-04-06,16680.0
2023-04-07,15240.0
2023-04-08,14280.0
2023-04-09,15420.0
2023-04-10,16740.0
2023-04-11,16920.0
2023-04-12,17880.0
2023-04-13,17340.0
2023-04-14,18420.0
2023-04-15,17100.0
2023-04-16,17580.0
2023-04-17,16800.0
2023-04-18,18300.0
2023-04-19,18780.0
2023-04-22,17460.0
2023-04-23,18120.0
2023-04-24,15720.0
2023-04-25,15960.0
2023-04-26,17040.0
2023-04-27,14220.0
2023-04-28,16020.0
2023-04-29,14400.0
2023-04-30,16740.0
2023-05-01,13860.0
2023-05-02,15960.0
2023-05-03,16140.0
2023-05-04,14640.0
2023-05-05,13800.0
2023-05-06,14700.0
2023-05-07,15480.0
2023-05-08,15300.0
2023-05-09,14160.0
2023-05-10,12960.0
2023-05-11,14580.0
2023-05-12,16980.0
2023-05-13,15780.0
2023-05-14,15360.0
2023-05-15,15360.0
2023-05-16,15660.0
2023-05-17,17040.0
2023-05-18,15660.0
2023-05-19,17400.0
2023-05-20,17460.0
2023-05-21,17400.0
2023-05-22,16320.0
2023-05-23,14100.0
2023-05-24,14520.0
2023-05-25,15000.0
2023-05-26,15720.0
2023-05-27,15360.0
2023-05-28,16440.0
2023-05-29,14640.0
2023-05-30,14520.0
2023-05-31,15660.0
2023-06-01,13440.0
2023-06-02,11640.0
2023-06-03,14820.0
2023-06-04,15900.0
2023-06-05,15480.0
2023-06-06,14340.0
2023-06-07,15180.0
2023-06-08,13980.0
2023-06-09,14340.0
2023-06-10,13020.0
2023-06-11,12840.0
2023-06-12,12360.0
2023-06-13,13500.0
2023-06-14,13380.0
2023-06-15,13800.0
2023-06-16,13920.0
2023-06-17,14160.0
2023-06-18,14100.0
2023-06-19,13020.0
2023-06-20,11820.0
2023-06-21,13200.0
2023-06-22,13320.0
2023-06-23,12180.0
2023-06-24,11820.0
2023-06-25,10140.0
2023-06-26,9780.0
2023-06-27,15660.0
2023-06-29,12840.0
2023-06-30,9780.0
2023-07-01,10200.0
2023-07-02,10380.0
2023-07-03,9720.0
2023-07-04,9600.0
2023-07-05,9060.0
2023-07-06,7860.0
2023-07-07,7140.0
2023-07-08,8160.0
2023-07-09,7740.0
2023-07-10,9900.0
2023-07-11,10860.0
2023-07-12,10560.0
2023-07-13,11220.0
2023-07-14,9060.0
2023-07-15,10860.0
2023-07-16,10560.0
2023-07-17,11400.0
2023-07-18,8400.0
2023-07-19,6120.0
2023-07-20,6000.0
2023-07-21,5700.0
2023-07-22,5640.0
2023-07-23,7680.0
2023-07-24,7380.0
2023-07-25,7440.0
2023-07-26,6420.0
2023-07-27,6000.0
2023-07-28,7920.0
2023-07-29,9900.0
2023-07-30,9720.0
2023-07-31,10380.0
2023-08-01,10560.0
2023-08-02,8940.0
2023-08-03,7140.0
2023-08-04,5460.0
2023-08-05,5700.0
2023-08-06,6840.0
2023-08-07,6720.0
2023-08-08,7620.0
2023-08-09,6180.0
2023-08-10,7080.0
2023-08-11,7200.0
2023-08-12,7740.0
2023-08-13,7920.0
2023-08-14,9060.0
2023-08-15,8040.0
2023-08-16,8100.0
2023-08-17,8580.0
2023-08-18,7380.0
2023-08-19,6720.0
2023-08-20,8100.0
2023-08-21,7860.0
